date,code,close,adjustflag,tradestatus
2026-01-19,sh.600000,10.6183434400,2,1
2026-01-20,sh.600000,10.5324036100,2,1
2026-01-21,sh.600000,10.2554863800,2,1
2026-01-22,sh.600000,10.1504488100,2,1
2026-01-23,sh.600000,10.0358623700,2,1
2026-01-26,sh.600000,9.8830804500,2,1
2026-01-27,sh.600000,9.7398474000,2,1
2026-01-28,sh.600000,9.5966143500,2,1
2026-01-29,sh.600000,9.6921030500,2,1
2026-01-30,sh.600000,9.5870654800,2,1
2026-02-02,sh.600000,9.6061632200,2,1
2026-02-03,sh.600000,9.5679677400,2,1
2026-02-04,sh.600000,9.6730053100,2,1
2026-02-05,sh.600000,9.7684940100,2,1
